purchase,coupon,age,months,app_open,loyalty
44903.0,1,33.8,21,14.0,0.497
54533.0,0,33.5,15,8.0,-0.138
42027.0,0,20.0,25,12.0,0.648
68928.0,0,34.7,21,19.0,1.523
48014.0,0,45.3,21,8.0,-0.234
41440.0,1,25.3,28,11.0,-0.234
80404.0,0,48.5,27,19.0,1.579
41868.0,0,42.9,22,13.0,0.767
37427.0,0,30.7,24,3.0,-0.469
47586.0,0,36.6,26,10.0,0.543
49921.0,0,54.0,27,2.0,-0.463
46340.0,1,45.3,25,5.0,-0.466
33898.0,0,38.1,24,11.0,0.242
32000.0,0,35.6,27,0.0,-1.913
26900.0,0,38.8,18,0.0,-1.725
30801.0,0,32.9,33,5.0,-0.562
29691.0,1,17.0,24,1.0,-1.013
42035.0,0,58.4,28,10.0,0.314
31570.0,0,39.6,18,3.0,-0.908
28651.0,0,42.0,19,0.0,-1.412
59424.0,0,37.4,23,17.0,1.466
39184.0,1,30.6,18,5.0,-0.226
35830.0,1,36.1,26,8.0,0.068
26602.0,0,22.0,17,4.0,-1.425
24487.0,0,60.8,15,7.0,-0.544
48128.0,1,25.7,27,6.0,0.111
18247.0,1,27.7,25,0.0,-1.151
52252.0,1,33.6,25,10.0,0.376
38475.0,0,50.9,19,6.0,-0.601
47948.0,1,38.1,26,5.0,-0.292
41824.0,0,25.6,20,6.0,-0.602
79490.0,1,50.5,20,19.0,1.852
36254.0,1,45.3,26,8.0,-0.013
35449.0,1,43.4,24,3.0,-1.058
73232.0,0,45.2,31,12.0,0.823
36094.0,1,61.9,16,0.0,-1.221
42933.0,0,59.9,19,11.0,0.209
18616.0,0,31.1,19,0.0,-1.96
28628.0,0,54.2,26,4.0,-1.328
40925.0,1,41.8,22,11.0,0.197
63363.0,1,43.0,19,14.0,0.738
47793.0,0,21.1,18,9.0,0.171
35281.0,1,36.3,23,9.0,-0.116
40021.0,0,29.9,28,6.0,-0.301
23168.0,0,46.3,21,0.0,-1.479
25556.0,0,48.7,27,2.0,-0.72
23842.0,0,17.3,19,7.0,-0.461
47125.0,0,37.8,23,15.0,1.057
53939.0,1,49.2,28,14.0,0.344
18500.0,0,36.1,18,2.0,-1.763
45309.0,1,45.3,25,11.0,0.324
37371.0,0,41.5,23,6.0,-0.385
42570.0,0,41.4,21,2.0,-0.677
57387.0,1,35.3,23,13.0,0.612
64362.0,0,25.8,29,15.0,1.031
56067.0,1,26.8,27,15.0,0.931
48814.0,0,45.1,25,6.0,-0.839
47503.0,1,38.2,27,4.0,-0.309
43856.0,0,36.6,20,8.0,0.331
59614.0,1,33.8,24,13.0,0.976
28008.0,0,34.9,21,7.0,-0.479
44093.0,1,48.5,21,8.0,-0.186
34261.0,0,34.6,23,0.0,-1.106
35127.0,1,24.6,18,2.0,-1.196
54184.0,1,45.4,18,10.0,0.813
87439.0,1,36.0,33,14.0,1.356
46405.0,1,38.3,28,7.0,-0.072
48427.0,1,54.1,22,13.0,1.004
61415.0,1,37.8,22,12.0,0.362
41949.0,0,40.9,22,5.0,-0.645
48622.0,0,26.2,21,14.0,0.361
63808.0,1,35.8,32,17.0,1.538
47431.0,0,44.1,19,8.0,-0.036
78395.0,1,22.4,30,20.0,1.565
15077.0,0,40.0,23,0.0,-2.62
45854.0,1,39.0,23,16.0,0.822
16680.0,0,38.4,16,10.0,0.087
45044.0,0,48.4,20,2.0,-0.299
39915.0,0,41.3,31,11.0,0.092
21769.0,0,52.8,21,0.0,-1.988
35201.0,0,28.1,29,9.0,-0.22
45042.0,1,39.4,23,6.0,0.357
56539.0,0,38.8,24,16.0,1.478
31578.0,0,27.3,24,4.0,-0.518
42342.0,0,47.6,22,1.0,-0.808
47055.0,0,61.2,25,8.0,-0.502
48695.0,1,37.8,22,13.0,0.915
46329.0,1,43.1,36,10.0,0.329
42003.0,0,38.8,26,6.0,-0.53
58509.0,0,30.9,25,12.0,0.513
51731.0,0,19.8,25,2.0,0.097
45942.0,0,30.9,17,13.0,0.969
41802.0,0,24.1,22,1.0,-0.702
31414.0,0,55.0,35,7.0,-0.328
38699.0,0,36.8,26,5.0,-0.392
33215.0,1,34.5,22,0.0,-1.464
33057.0,0,46.9,24,6.0,0.296
64393.0,0,26.8,31,9.0,0.261
58725.0,1,30.3,31,10.0,0.005
48463.0,0,38.7,30,9.0,-0.235
21838.0,0,48.3,25,1.0,-1.415
41160.0,0,43.0,30,3.0,-0.421
49983.0,1,40.5,22,8.0,-0.343
24309.0,0,38.8,14,5.0,-0.802
46221.0,1,42.0,30,7.0,-0.161
60034.0,1,40.0,23,6.0,0.404
53733.0,0,27.7,23,21.0,1.886
52423.0,1,38.5,23,8.0,0.175
32642.0,0,27.3,26,10.0,0.258
36277.0,0,38.8,23,8.0,-0.074
17017.0,0,33.2,24,0.0,-1.919
55799.0,1,63.4,26,8.0,-0.027
40057.0,0,37.6,25,8.0,0.06
75057.0,1,24.0,18,26.0,2.463
36193.0,0,36.7,21,6.0,-0.192
44153.0,0,43.2,20,11.0,0.302
59899.0,1,54.7,24,7.0,-0.035
22090.0,0,32.1,31,0.0,-1.169
65013.0,1,22.2,23,15.0,1.143
55440.0,0,46.2,26,14.0,0.752
47417.0,0,24.2,23,15.0,0.791
27493.0,1,33.6,29,5.0,-0.909
50077.0,0,35.4,14,16.0,1.403
21764.0,0,37.3,23,0.0,-1.402
52076.0,0,44.9,26,11.0,0.587
77888.0,1,31.2,24,19.0,2.19
31101.0,0,35.3,29,2.0,-0.991
34117.0,0,37.9,14,4.0,-0.566
47348.0,1,39.5,18,10.0,0.1
41719.0,0,39.0,19,1.0,-0.503
31604.0,0,42.4,22,0.0,-1.551
40793.0,1,46.4,34,7.0,0.069
30185.0,0,41.9,23,4.0,-1.062
62583.0,0,42.5,32,9.0,0.474
19065.0,0,22.2,15,3.0,-0.919
63669.0,0,38.5,22,17.0,1.55
34353.0,0,42.8,22,5.0,-0.783
40695.0,0,45.3,40,7.0,-0.322
71450.0,1,31.1,35,13.0,0.814
28136.0,0,31.4,18,0.0,-1.231
58958.0,0,32.3,25,6.0,0.227
62135.0,0,43.4,28,16.0,1.307
33143.0,0,48.3,36,0.0,-1.607
42987.0,0,33.9,30,6.0,0.185
47552.0,1,47.1,23,7.0,0.26
57842.0,0,39.2,25,13.0,0.782
35392.0,0,36.8,35,1.0,-1.237
33621.0,0,35.9,25,0.0,-1.32
52797.0,0,45.5,12,10.0,0.522
37161.0,0,41.3,19,6.0,0.297
47169.0,1,60.8,21,12.0,0.25
54279.0,0,29.5,23,7.0,0.346
21749.0,0,43.2,24,5.0,-0.68
52534.0,1,32.7,26,9.0,0.232
45918.0,0,29.3,23,12.0,0.293
42808.0,0,37.9,23,2.0,-0.714
69728.0,0,39.4,19,19.0,1.866
54351.0,1,67.2,33,7.0,0.474
23753.0,0,36.2,20,0.0,-1.191
50801.0,1,26.7,29,13.0,0.657
39154.0,0,40.7,29,0.0,-0.975
35315.0,1,17.3,22,12.0,0.787
60224.0,0,37.1,26,17.0,1.159
29512.0,0,38.2,32,5.0,-0.821
58879.0,0,45.9,23,12.0,0.963
55970.0,1,47.7,19,7.0,0.413
42811.0,0,33.0,35,14.0,0.822
69521.0,1,36.5,29,22.0,1.897
41151.0,0,30.3,20,5.0,-0.245
34767.0,0,26.7,24,2.0,-0.754
32813.0,0,41.1,20,2.0,-0.89
22933.0,0,25.3,22,4.0,-0.816
35304.0,0,33.9,27,10.0,-0.077
38377.0,1,28.0,19,8.0,0.341
55177.0,1,43.5,18,7.0,0.277
58304.0,1,56.0,18,18.0,0.827
41990.0,0,25.0,21,8.0,0.013
44819.0,0,19.5,19,17.0,1.454
40168.0,0,36.8,19,5.0,-0.265
86135.0,1,38.2,27,25.0,2.72
40501.0,1,40.2,22,14.0,0.626
32561.0,0,33.5,39,3.0,-0.857
18286.0,0,36.0,20,5.0,-1.071
49179.0,1,41.7,16,10.0,0.482
36671.0,0,48.4,25,6.0,-0.223
55883.0,1,18.4,21,13.0,0.714
53679.0,0,34.3,36,12.0,0.473
57979.0,1,40.1,26,8.0,-0.073
34029.0,1,28.8,15,0.0,-0.847
30526.0,0,55.3,17,0.0,-1.515
36027.0,1,31.6,19,5.0,-0.447
49790.0,1,37.6,27,12.0,0.856
55281.0,0,43.6,26,9.0,0.214
39310.0,0,32.1,26,0.0,-1.246
51754.0,0,19.5,34,7.0,0.173
51231.0,0,33.7,31,5.0,0.385
30145.0,0,48.3,35,6.0,-0.884
54872.0,0,34.6,22,10.0,0.154
47465.0,0,29.5,17,8.0,0.058
50672.0,0,47.3,34,0.0,-1.143
39962.0,0,34.7,27,4.0,0.358
56865.0,0,32.9,20,10.0,0.561
64614.0,1,39.5,20,16.0,1.083
54866.0,0,45.7,19,16.0,1.054
47351.0,1,61.8,32,1.0,-1.378
38006.0,0,46.3,24,3.0,-0.938
48425.0,1,49.6,25,14.0,0.515
51660.0,1,32.9,21,10.0,0.514
44451.0,1,27.7,22,13.0,0.515
90578.0,1,38.6,25,30.0,3.853
57442.0,0,39.1,24,10.0,0.571
67323.0,1,27.2,22,13.0,1.136
56755.0,0,36.2,19,12.0,0.954
51015.0,1,42.0,28,13.0,0.651
47010.0,1,41.6,21,5.0,-0.315
61851.0,1,43.0,16,10.0,0.759
21786.0,1,40.9,17,5.0,-0.773
42129.0,0,32.9,24,7.0,-0.237
37883.0,0,32.9,30,7.0,-0.485
52814.0,1,26.0,15,10.0,0.082
81539.0,1,55.8,25,20.0,2.315
25888.0,0,38.1,22,0.0,-1.867
52043.0,1,35.8,25,12.0,0.686
24067.0,0,28.7,24,0.0,-1.613
54490.0,1,67.4,26,3.0,-0.472
59338.0,1,27.3,27,13.0,1.089
45725.0,0,33.7,21,12.0,0.064
