purchase,coupon,loyalty,age,months
29704.0,0,0.189,34.9,23
27834.0,1,-0.523,34.3,16
42969.0,1,-0.413,40.0,21
22756.0,1,-2.441,42.0,29
68243.0,0,1.8,40.9,26
46886.0,1,1.144,42.3,20
40626.0,0,-0.325,30.8,32
69961.0,0,0.774,42.7,33
51396.0,1,0.281,46.5,13
47572.0,1,-0.554,39.5,26
70470.0,1,0.978,37.1,26
27579.0,0,-0.311,31.7,19
40607.0,1,-0.329,40.3,24
38155.0,1,-0.792,26.4,27
70731.0,1,0.455,33.9,26
48262.0,1,-0.099,36.5,15
64885.0,0,0.545,15.5,20
35616.0,0,-0.607,40.4,21
21588.0,0,0.127,22.9,23
32859.0,0,-0.892,29.2,23
49255.0,1,0.841,29.1,30
60197.0,0,0.188,33.9,18
44391.0,1,0.331,35.3,19
58720.0,0,0.411,43.0,25
34689.0,0,-1.011,26.6,34
62226.0,1,0.783,33.2,34
71543.0,1,2.057,41.1,20
38323.0,1,-1.638,31.5,23
16809.0,0,-1.729,30.0,21
40658.0,0,-1.505,39.5,26
56797.0,1,0.841,43.8,17
53079.0,0,0.129,42.4,16
49638.0,1,1.078,24.3,27
50996.0,1,0.722,38.4,28
41179.0,0,0.211,36.7,21
51811.0,0,0.284,53.9,30
35114.0,0,-0.17,36.8,27
61890.0,1,0.868,34.5,24
27049.0,1,-1.13,50.9,22
45489.0,0,-0.422,30.1,31
48135.0,1,0.243,49.7,19
71931.0,1,1.801,49.7,27
39969.0,0,-0.764,36.5,21
34965.0,0,-1.079,40.1,16
41892.0,1,-0.563,43.7,25
74708.0,1,0.969,59.4,24
55437.0,1,-0.235,40.1,19
58862.0,1,1.324,34.2,14
34223.0,0,-1.873,44.9,18
51869.0,0,1.129,39.5,34
65517.0,0,1.035,30.7,32
26389.0,0,-1.419,38.7,30
38221.0,1,0.154,42.4,23
58459.0,1,1.216,50.3,20
41853.0,0,0.088,44.2,22
55075.0,1,1.0,43.9,34
79669.0,1,2.375,33.1,22
60286.0,1,0.274,48.6,25
46886.0,1,-0.28,31.8,29
42537.0,0,-0.771,31.3,24
51819.0,1,0.648,33.8,17
53535.0,1,-0.197,30.4,28
40199.0,1,-0.179,39.4,16
43528.0,0,-0.105,45.0,17
45081.0,1,0.65,39.0,19
32839.0,0,-1.066,34.5,17
29533.0,0,-1.53,40.8,18
19289.0,1,-2.434,33.3,29
54611.0,0,1.199,48.0,22
40148.0,0,0.074,52.8,24
52084.0,0,1.51,36.0,18
54265.0,1,-0.009,35.4,31
40040.0,0,-0.742,48.3,22
61072.0,1,0.478,60.8,21
51878.0,1,-0.077,36.5,25
32516.0,1,-1.254,51.9,27
37993.0,1,-0.885,43.9,29
57178.0,1,1.767,30.1,22
45980.0,1,0.354,38.7,23
52320.0,1,0.416,42.3,26
46615.0,1,-0.277,34.7,30
34718.0,0,-0.69,57.6,27
57658.0,0,0.892,15.5,29
47303.0,1,-0.105,33.3,22
35441.0,0,-0.759,33.1,18
42955.0,0,-0.134,30.8,19
45224.0,0,-0.906,31.5,23
53409.0,0,0.19,38.6,24
58563.0,1,1.129,43.1,24
31392.0,0,-0.836,38.9,28
62915.0,0,1.429,44.5,29
33431.0,1,-0.668,36.5,29
66445.0,0,0.153,28.0,24
34718.0,1,-0.836,31.3,23
37027.0,0,-0.222,50.2,27
44099.0,1,0.047,32.4,19
50453.0,1,-0.435,33.9,26
34119.0,0,-0.703,41.8,33
26915.0,1,-0.678,43.7,14
48474.0,1,-0.821,37.5,26
40197.0,1,-1.57,46.0,22
50303.0,0,-0.263,52.1,21
34389.0,1,0.401,54.1,24
49890.0,0,0.908,40.1,29
49919.0,1,0.647,24.9,25
74074.0,1,2.457,27.8,19
56401.0,1,0.319,27.8,22
37816.0,0,-0.456,41.1,26
75685.0,1,1.872,50.1,31
32141.0,1,-1.047,42.7,28
58782.0,1,0.968,47.0,21
30967.0,0,-0.955,67.8,23
63957.0,1,0.354,26.4,20
25841.0,0,-1.968,51.1,35
49621.0,1,0.899,38.0,21
31977.0,1,-0.158,32.2,18
37842.0,1,-0.968,34.4,29
70612.0,1,1.678,35.2,22
59459.0,0,0.765,57.4,23
48742.0,1,0.046,42.3,20
40640.0,1,-0.745,52.1,17
35341.0,0,-0.043,25.4,24
53545.0,0,-0.164,53.3,24
51518.0,0,0.725,42.9,28
52104.0,0,0.798,47.7,20
32452.0,0,-0.668,29.4,30
30113.0,0,-0.549,44.2,29
23915.0,0,-0.532,39.8,20
33001.0,1,-1.349,36.5,23
40099.0,1,-0.592,38.8,19
49614.0,1,-0.092,40.4,32
55133.0,1,0.691,42.0,24
64400.0,0,1.32,30.5,22
44872.0,1,-0.808,46.2,29
54298.0,1,0.551,26.1,20
41072.0,0,-0.444,28.6,28
73215.0,1,2.075,21.7,29
32628.0,0,-0.049,11.2,28
55794.0,0,0.502,55.4,26
26897.0,0,-0.936,55.5,21
47109.0,1,-0.811,33.3,32
52572.0,1,0.202,33.8,34
35958.0,1,-0.384,28.9,24
49897.0,0,0.353,38.4,19
18290.0,0,-1.562,37.6,20
46728.0,0,0.662,27.0,33
31675.0,1,-0.899,37.2,16
53319.0,1,1.722,24.1,23
44398.0,1,-0.288,35.5,27
67210.0,1,1.097,49.3,27
45609.0,1,-1.395,44.8,12
64391.0,1,0.429,40.2,29
35640.0,0,-0.888,35.2,27
43870.0,0,-0.487,57.3,23
62001.0,1,0.025,35.7,25
49986.0,1,-0.317,16.5,23
38529.0,0,0.264,34.7,15
50595.0,0,0.748,15.1,21
46744.0,1,0.653,37.5,17
29777.0,1,-0.087,35.7,21
22008.0,0,-1.363,52.4,32
33902.0,0,-0.805,51.7,25
44648.0,1,-0.196,34.9,28
3018.0,0,-2.122,36.0,29
57451.0,0,0.752,45.2,29
37387.0,0,-0.24,27.7,24
32211.0,1,-0.251,30.2,15
67908.0,1,0.948,52.5,29
55282.0,0,0.668,28.0,30
37754.0,0,0.221,40.2,21
36258.0,0,-1.001,62.4,30
52560.0,1,0.31,34.3,23
35228.0,0,0.346,57.3,16
51419.0,1,-0.885,25.1,18
63216.0,0,1.043,29.7,22
68000.0,0,0.508,52.1,26
33316.0,1,-1.97,45.6,19
43772.0,0,0.122,38.8,21
35970.0,1,-1.265,37.7,17
59596.0,0,1.136,49.2,23
64479.0,1,0.807,57.1,31
46018.0,1,-1.104,27.0,25
43652.0,1,-0.885,34.8,26
55867.0,1,0.102,48.1,25
42502.0,1,-0.239,35.7,23
51978.0,0,1.525,48.2,32
54866.0,1,0.741,29.4,26
54370.0,1,-0.282,52.7,25
51465.0,0,0.577,46.3,22
21565.0,0,-2.032,41.6,35
49787.0,0,0.31,42.5,20
44767.0,0,0.866,55.0,26
50836.0,0,-0.179,27.5,30
44157.0,0,-0.71,42.1,12
61720.0,1,0.566,30.6,29
73414.0,0,1.959,30.4,30
56286.0,1,0.205,53.2,35
25639.0,1,-1.121,43.5,16
64108.0,1,1.446,41.2,24
32359.0,1,-1.879,46.2,21
61315.0,1,0.503,33.9,28
48928.0,1,-0.582,51.2,21
46921.0,0,0.931,34.8,31
50367.0,0,-0.849,45.4,27
52972.0,0,1.324,40.0,25
44299.0,1,0.3,48.3,16
36312.0,0,-1.727,30.1,16
26005.0,0,-1.974,46.8,21
55752.0,0,-0.316,47.2,20
54331.0,0,1.294,40.3,19
45896.0,1,0.127,34.1,23
36484.0,0,0.067,28.5,19
50185.0,1,-0.236,34.6,19
57062.0,0,0.738,42.3,34
60955.0,1,0.377,34.1,28
46226.0,0,0.28,22.3,21
42048.0,0,-0.985,45.0,22
70655.0,1,1.188,43.7,19
61349.0,1,1.363,34.8,32
36853.0,1,-1.301,25.7,26
74139.0,0,2.301,32.4,24
48615.0,1,0.723,33.4,19
33962.0,0,-0.488,31.9,24
16391.0,1,-1.904,40.0,25
41703.0,0,0.657,18.5,28
40639.0,1,0.558,38.4,19
34485.0,0,-0.596,34.6,23
26637.0,0,-1.791,46.5,26
51598.0,1,1.124,29.1,24
53025.0,1,-0.588,36.6,29
40417.0,1,-0.472,34.4,29
74507.0,1,2.846,17.8,18
81230.0,0,2.128,60.4,33
54472.0,1,0.954,34.9,24
37472.0,1,-0.455,42.5,20
59364.0,1,0.649,38.8,16
34402.0,1,-2.281,36.2,26
48649.0,0,0.107,37.2,22
45914.0,0,-0.76,18.5,26
10103.0,1,-1.286,41.7,21
16393.0,1,-1.583,32.6,20
55553.0,1,0.525,35.5,27
51285.0,0,0.089,49.2,21
42239.0,1,0.16,38.4,25
57656.0,1,0.842,57.7,18
23354.0,0,-0.846,50.6,29
33259.0,0,-1.236,44.6,23
34951.0,0,-1.776,42.4,22
34022.0,1,-0.335,28.6,19
68634.0,1,0.76,60.8,19
45092.0,1,-0.149,55.9,26
63952.0,1,0.641,37.3,25
34650.0,1,-1.181,39.6,42
49438.0,1,-0.469,23.9,26
47272.0,1,-0.766,51.0,21
32904.0,0,-1.248,41.8,30
69720.0,0,1.859,41.8,29
68651.0,1,0.852,36.0,21
22906.0,0,-0.762,37.6,23
33279.0,0,-0.766,35.9,25
54038.0,1,-0.057,34.5,20
21364.0,0,-1.442,34.3,29
54381.0,1,0.436,33.3,24
21849.0,1,-1.294,56.9,23
40148.0,1,-0.37,62.2,31
10331.0,0,-1.025,18.9,23
33985.0,0,-0.48,37.8,35
37193.0,1,-1.331,31.9,18
36364.0,0,-1.573,31.9,28
22813.0,0,-0.966,45.4,22
34320.0,1,-0.68,5.1,24
46670.0,1,-0.295,46.0,22
54904.0,1,0.069,18.6,32
60948.0,0,1.527,39.6,31
50696.0,0,0.812,33.3,21
47034.0,1,-0.253,30.9,34
38225.0,0,0.726,37.1,27
32168.0,0,-0.689,26.8,26
78017.0,1,1.448,55.8,32
72002.0,1,0.549,20.5,21
25784.0,0,-1.356,21.3,22
58065.0,0,0.755,35.9,26
42926.0,0,0.816,37.6,18
11380.0,1,-2.686,50.8,25
35283.0,1,-0.748,36.0,33
39006.0,0,-0.474,25.8,25
15969.0,0,-1.929,31.8,34
42536.0,1,-1.067,29.7,24
34208.0,1,-0.948,33.8,21
57095.0,1,0.507,42.6,22
50261.0,1,0.3,34.3,26
84364.0,1,2.626,30.9,33
54773.0,1,-0.394,43.9,23
52558.0,0,1.153,28.0,21
46754.0,1,0.079,36.9,18
52015.0,0,0.271,40.9,27
40477.0,1,-1.16,31.0,29
16545.0,1,-1.911,48.3,17
35970.0,1,-0.767,35.3,22
58175.0,0,0.762,55.5,25
71430.0,1,1.583,35.1,29
72097.0,1,0.604,32.6,18
50760.0,1,0.498,25.9,26
35545.0,1,-0.839,38.5,25
74923.0,0,1.534,44.1,19
69105.0,1,1.344,22.3,23
47374.0,0,-0.531,18.7,26
29028.0,0,-0.046,24.6,21
29204.0,1,-0.996,37.3,24
56849.0,0,1.467,37.2,18
43718.0,0,0.406,27.9,24
46827.0,1,-0.095,32.9,17
51724.0,1,0.407,36.8,25
48015.0,0,0.441,41.5,22
35892.0,1,-0.411,25.3,23
18786.0,0,-1.242,19.1,24
