purchase,coupon,loyalty,age,months
49357.0,1,0.346,44.0,22
67212.0,1,0.822,44.7,31
36290.0,1,0.33,34.5,23
22996.0,0,-1.303,43.0,23
47846.0,0,0.905,33.4,29
49670.0,0,0.446,27.8,22
35653.0,1,-0.537,23.6,32
49425.0,1,0.581,35.6,23
45245.0,1,0.365,38.8,24
47557.0,0,0.294,52.5,21
34786.0,0,0.028,31.4,24
45765.0,0,0.547,50.9,27
32259.0,0,-0.736,20.6,27
44336.0,0,-0.163,35.4,33
51846.0,0,-0.482,59.8,21
53361.0,1,0.599,33.0,24
44662.0,0,0.04,27.4,23
47233.0,1,-0.292,26.2,27
43187.0,0,-0.782,58.8,24
44998.0,1,-0.257,49.0,24
46199.0,1,0.008,31.0,31
40485.0,0,-0.276,32.0,23
75325.0,1,1.294,11.6,21
54802.0,1,1.007,34.8,22
14960.0,0,-2.711,52.2,22
25545.0,0,-1.889,17.2,27
47126.0,0,-0.175,47.5,23
47872.0,0,-0.422,42.9,21
48360.0,1,0.214,52.6,29
44164.0,0,0.217,31.4,25
82278.0,1,2.118,39.5,24
27416.0,0,-1.112,50.5,20
51740.0,1,-0.378,41.9,23
86284.0,1,2.043,44.1,21
49609.0,0,0.647,33.8,24
58117.0,1,0.663,35.2,18
30825.0,0,-0.514,31.2,26
18865.0,1,-1.648,38.2,22
45576.0,1,0.167,37.4,23
31013.0,1,0.109,34.5,16
34770.0,0,-1.227,15.6,21
39336.0,0,-0.683,22.9,34
53602.0,0,-0.072,36.4,20
36148.0,1,-0.945,48.8,20
32967.0,0,-0.098,28.2,23
45618.0,1,0.095,31.8,21
39960.0,1,0.036,36.7,28
38413.0,1,-0.506,46.8,24
48308.0,1,0.594,53.8,24
51032.0,0,0.891,39.9,19
50829.0,1,0.321,37.2,31
40264.0,0,-0.818,29.1,17
48121.0,1,0.732,41.0,25
34866.0,0,-0.501,34.2,19
48145.0,1,0.879,38.7,24
22318.0,0,-1.072,28.2,28
65274.0,1,0.914,48.0,35
39475.0,1,-0.02,33.0,25
26959.0,0,-1.249,21.7,19
49626.0,0,-0.314,36.7,21
38834.0,0,0.054,26.0,19
47054.0,0,0.273,42.5,31
39238.0,0,-0.982,50.4,29
44972.0,0,-1.107,42.6,19
68274.0,1,0.2,35.6,18
37947.0,1,-0.467,28.8,25
48507.0,1,0.236,32.3,22
59064.0,1,0.76,58.6,23
35735.0,1,-1.649,47.9,29
54855.0,1,0.254,27.1,24
58018.0,0,1.225,27.8,21
48016.0,0,-0.298,41.1,24
30098.0,1,-0.811,38.3,29
65131.0,1,0.752,38.5,18
45936.0,1,0.253,43.6,19
60475.0,0,0.896,26.7,22
44251.0,0,-0.345,29.5,23
25516.0,0,-1.482,47.7,24
54575.0,0,-0.11,40.8,20
39657.0,0,-0.446,35.1,30
49217.0,0,0.775,36.7,21
53757.0,0,0.194,44.1,23
19109.0,0,-1.631,40.7,30
42627.0,0,-1.195,31.0,21
62479.0,1,0.884,26.0,26
58862.0,1,0.68,45.7,26
33876.0,0,-0.64,25.6,25
58711.0,0,-0.001,58.2,29
48190.0,1,0.446,26.2,36
60487.0,0,0.468,31.6,22
66774.0,0,0.876,48.6,28
51985.0,1,0.256,52.2,23
27117.0,1,-0.095,38.5,14
36096.0,1,-0.259,11.1,30
58587.0,0,1.056,36.5,17
15787.0,0,-2.251,16.8,20
47772.0,0,-0.139,32.7,27
47804.0,1,0.033,46.3,36
30974.0,0,-1.425,45.7,24
53271.0,1,0.333,39.0,19
33149.0,0,-0.651,40.3,28
64538.0,0,0.862,44.0,24
44986.0,1,-0.126,33.9,30
35223.0,1,0.669,34.1,21
59353.0,0,1.219,49.9,27
48985.0,0,0.383,42.7,24
32932.0,0,-0.876,49.9,23
22788.0,0,-1.514,41.9,19
72366.0,1,1.753,41.7,22
49602.0,1,-0.111,46.1,25
35556.0,0,-0.689,45.0,25
43586.0,0,0.144,55.0,29
34867.0,1,-0.191,43.8,33
58124.0,0,0.852,33.2,22
37025.0,0,0.034,33.9,24
41346.0,0,0.014,28.4,31
39606.0,0,-0.715,40.1,18
41516.0,0,0.47,30.8,22
32525.0,0,-1.034,24.8,23
48126.0,1,0.666,44.3,23
77641.0,0,1.524,52.6,24
24545.0,0,-1.525,21.9,27
14079.0,0,-2.466,47.5,30
36216.0,1,0.617,40.0,22
69120.0,1,2.548,27.6,29
38548.0,0,-1.001,31.0,32
43152.0,1,-1.251,35.9,30
64673.0,0,0.589,60.8,29
30832.0,0,-0.841,40.2,27
35285.0,0,-0.506,53.7,23
45221.0,0,-0.348,31.9,30
56453.0,0,0.532,48.5,27
37749.0,0,-0.405,46.0,28
40817.0,0,0.278,31.1,15
34357.0,0,-0.177,32.1,24
46161.0,0,-0.845,42.8,26
38028.0,0,-0.32,22.1,27
32648.0,0,-0.95,37.6,22
54830.0,0,0.007,24.9,25
22141.0,0,-1.124,37.9,19
37715.0,0,-1.093,42.1,29
65161.0,1,1.457,44.8,39
55459.0,0,-0.053,41.9,13
63446.0,1,-0.054,36.0,17
57364.0,0,0.512,32.5,20
43188.0,0,-0.421,29.4,24
42750.0,0,-0.229,31.8,14
45419.0,0,0.425,33.6,15
43613.0,1,0.282,32.7,16
29027.0,0,-1.159,39.6,28
58594.0,1,0.833,31.1,22
38856.0,0,-0.59,22.0,14
22159.0,1,-1.056,44.6,22
35796.0,1,-0.9,30.3,14
23517.0,0,-0.391,21.2,25
75438.0,1,1.627,28.6,32
26923.0,0,-1.176,34.4,12
71792.0,0,0.16,35.6,21
34106.0,0,-2.138,39.9,23
47193.0,1,-0.002,57.0,16
58541.0,0,0.9,24.7,29
53576.0,1,-0.237,53.9,25
45614.0,1,-0.629,39.5,28
39376.0,1,0.232,34.6,23
49373.0,1,0.7,15.4,17
52855.0,0,0.664,34.9,30
69388.0,0,1.972,44.3,28
45378.0,0,0.209,27.3,20
31411.0,0,-0.592,22.5,25
67127.0,1,-0.126,24.7,33
40276.0,0,-0.072,39.5,18
47755.0,1,0.109,38.1,26
35737.0,1,-0.03,53.7,20
44111.0,1,0.174,32.9,14
17512.0,0,-1.671,45.8,20
53519.0,0,0.83,25.5,18
33087.0,1,-0.575,35.5,28
41161.0,0,-1.173,48.7,25
45838.0,0,0.638,34.8,23
53069.0,0,1.317,43.0,26
44785.0,0,0.493,25.0,35
33833.0,0,0.161,28.3,29
25507.0,0,-0.932,32.2,10
85979.0,1,2.872,26.4,20
40930.0,0,0.88,33.0,27
30755.0,0,-1.139,52.4,25
33735.0,0,-0.78,35.4,22
25127.0,0,0.087,40.2,22
20987.0,0,-1.555,53.4,27
43606.0,0,0.169,38.0,18
43021.0,0,-0.459,36.3,20
67009.0,0,1.226,32.9,27
58754.0,1,0.962,49.0,27
8782.0,0,-2.711,46.9,24
54215.0,1,0.042,58.4,20
42614.0,0,-1.617,58.6,25
51862.0,0,1.11,22.9,29
53805.0,0,0.168,45.6,23
55363.0,1,0.548,59.1,22
29206.0,1,-1.065,41.2,22
85499.0,1,1.828,39.7,26
64550.0,1,2.02,26.5,30
35049.0,1,-1.065,49.5,27
33432.0,0,0.373,28.0,23
32588.0,0,-0.673,39.9,30
53220.0,0,-0.024,34.8,21
16054.0,0,-1.266,42.8,20
73296.0,0,1.867,33.8,20
30566.0,0,-0.969,33.9,23
42044.0,0,-0.296,48.5,32
44095.0,0,0.501,37.8,27
40053.0,0,-0.648,47.3,28
32057.0,0,-0.239,31.5,25
34337.0,1,-0.564,53.0,21
57870.0,1,-0.133,43.4,25
25641.0,0,-1.171,50.4,23
32067.0,0,-0.438,45.9,20
32525.0,1,-0.207,22.4,24
42449.0,0,-0.334,12.4,17
47694.0,0,0.057,48.8,34
29827.0,0,-0.293,33.3,24
56753.0,0,0.753,34.1,36
39623.0,0,-0.323,29.7,20
46771.0,0,-0.137,32.5,20
54435.0,0,-0.665,41.1,27
37932.0,0,-0.527,46.9,20
23608.0,0,-1.264,35.1,27
72216.0,1,0.519,16.1,25
29061.0,0,-1.143,44.0,24
49426.0,0,-0.746,41.0,23
49814.0,0,0.359,31.9,13
46265.0,0,0.403,25.0,20
56055.0,1,-0.4,24.6,27
26619.0,0,-2.019,50.5,17
47610.0,0,0.421,31.8,25
55409.0,0,0.26,50.1,29
25546.0,0,-1.412,35.5,25
61363.0,1,0.77,46.8,19
37311.0,0,-0.701,28.7,19
31502.0,0,-1.126,25.3,24
53597.0,0,0.096,36.0,24
22588.0,1,-0.178,20.6,29
52658.0,1,0.203,24.5,22
23427.0,0,-1.606,42.7,20
70943.0,0,1.812,53.7,27
42171.0,0,-0.603,39.8,23
17628.0,0,-1.54,21.4,22
46531.0,1,0.619,27.7,22
41173.0,0,-0.355,39.8,31
54323.0,1,0.325,36.6,34
45359.0,0,-0.34,62.0,25
40549.0,0,-0.06,56.9,24
49825.0,1,0.246,35.0,21
34336.0,0,-0.747,59.1,25
43897.0,1,0.679,28.5,23
34042.0,0,-0.47,28.5,18
30983.0,0,-0.87,52.4,20
51030.0,0,0.077,27.5,26
46811.0,1,0.445,32.4,25
38210.0,0,-0.229,54.1,24
37600.0,0,-0.863,33.9,22
43792.0,0,0.62,51.7,17
19844.0,0,-1.76,45.2,27
32868.0,1,-1.031,33.8,28
55991.0,0,0.04,44.6,11
36263.0,0,-1.361,49.4,22
48277.0,0,0.028,46.4,26
50654.0,1,-0.055,29.6,23
54000.0,1,0.899,47.6,31
32090.0,0,-0.915,14.5,28
27258.0,0,-0.626,34.9,20
62799.0,1,0.333,38.5,18
18095.0,0,-2.458,47.5,20
87248.0,1,3.1,51.8,21
27957.0,0,-0.699,24.4,26
42461.0,0,-0.73,32.3,28
52076.0,1,0.861,36.6,19
38624.0,0,-0.04,33.1,22
27709.0,1,-1.779,41.6,25
47282.0,1,0.627,44.4,19
55434.0,1,0.855,44.8,24
42719.0,0,-0.45,34.4,28
46633.0,0,-0.282,70.1,27
58776.0,1,0.486,26.2,18
36052.0,0,-0.909,35.9,22
65145.0,1,0.438,53.7,20
26972.0,0,0.199,46.3,21
38388.0,1,-0.675,46.0,19
42519.0,0,-1.392,50.9,22
50741.0,0,-0.226,36.3,18
37610.0,0,-0.875,39.3,31
47623.0,0,1.001,49.6,19
42076.0,1,0.144,54.6,25
43359.0,0,0.782,25.4,26
56690.0,1,0.135,33.1,24
43545.0,0,0.263,38.5,20
27428.0,0,-0.783,47.6,25
40235.0,0,0.668,26.0,25
60854.0,1,1.785,48.0,23
41342.0,0,-0.31,31.6,23
33168.0,0,-0.593,46.1,29
45125.0,0,-0.158,41.1,26
49184.0,0,-0.481,53.5,22
