entity,time,treated,post,treat_post,outcome,event_time,event_tm5,event_tm4,event_tm3,event_tm2,event_tm1
0,0,0,0,0,-0.9172255896634056,0,0,0,0,0,0
0,1,0,0,0,2.479465347323457,0,0,0,0,0,0
0,2,0,0,0,3.166457905233099,0,0,0,0,0,0
0,3,0,0,0,-1.8053850331745842,0,0,0,0,0,0
0,4,0,0,0,-1.5176609358586206,0,0,0,0,0,0
0,5,0,0,0,1.545035720452848,0,0,0,0,0,0
0,6,0,0,0,0.2862726134961519,0,0,0,0,0,0
0,7,0,0,0,0.8157029482220448,0,0,0,0,0,0
0,8,0,0,0,2.4644036741888358,0,0,0,0,0,0
0,9,0,0,0,3.8745497491677323,0,0,0,0,0,0
0,10,0,0,0,0.319230297472493,0,0,0,0,0,0
0,11,0,0,0,-1.6028778001124726,0,0,0,0,0,0
0,12,0,0,0,2.9776558153202095,0,0,0,0,0,0
0,13,0,0,0,2.1248431150733658,0,0,0,0,0,0
0,14,0,0,0,0.9309757802930814,0,0,0,0,0,0
0,15,0,0,0,-1.0770037683103681,0,0,0,0,0,0
0,16,0,0,0,-0.3700547633987221,0,0,0,0,0,0
0,17,0,0,0,-0.5690059651538582,0,0,0,0,0,0
0,18,0,0,0,-1.5511847099496634,0,0,0,0,0,0
0,19,0,0,0,2.1264206501673772,0,0,0,0,0,0
0,20,0,1,0,4.208528472822448,0,0,0,0,0,0
0,21,0,1,0,2.0627533650233207,0,0,0,0,0,0
0,22,0,1,0,3.1086652877094103,0,0,0,0,0,0
0,23,0,1,0,1.3513506977088672,0,0,0,0,0,0
1,0,1,0,0,-2.486728650812797,-20,0,0,0,0,0
1,1,1,0,0,-0.8263389991531633,-19,0,0,0,0,0
1,2,1,0,0,1.688381324007418,-18,0,0,0,0,0
1,3,1,0,0,1.4233889336829748,-17,0,0,0,0,0
1,4,1,0,0,-5.6655620804805595,-16,0,0,0,0,0
1,5,1,0,0,-0.9296291236593803,-15,0,0,0,0,0
1,6,1,0,0,-0.025246180512313865,-14,0,0,0,0,0
1,7,1,0,0,-2.9713786691500124,-13,0,0,0,0,0
1,8,1,0,0,2.8845832525671993,-12,0,0,0,0,0
1,9,1,0,0,3.7550141002956297,-11,0,0,0,0,0
1,10,1,0,0,3.5362559649566974,-10,0,0,0,0,0
1,11,1,0,0,-3.4141891777534847,-9,0,0,0,0,0
