trial,arm_selected,reward,true_prob
1,0,0,0.3
2,2,0,0.4
3,0,0,0.3
4,1,1,0.55
5,1,1,0.55
6,1,1,0.55
7,1,0,0.55
8,1,1,0.55
9,1,0,0.55
10,1,0,0.55
11,1,1,0.55
12,1,0,0.55
13,1,1,0.55
14,1,1,0.55
15,1,0,0.55
16,1,1,0.55
17,0,0,0.3
18,1,1,0.55
19,1,1,0.55
20,2,0,0.4
21,1,0,0.55
22,1,1,0.55
23,2,1,0.4
24,1,0,0.55
25,1,0,0.55
26,1,1,0.55
27,2,1,0.4
28,1,0,0.55
29,2,0,0.4
30,2,0,0.4
31,1,1,0.55
32,2,1,0.4
33,1,1,0.55
34,1,0,0.55
35,1,1,0.55
36,1,1,0.55
37,1,1,0.55
38,1,0,0.55
39,2,0,0.4
40,1,1,0.55
41,1,0,0.55
42,1,1,0.55
43,1,0,0.55
44,1,1,0.55
45,1,1,0.55
46,1,1,0.55
47,1,1,0.55
48,1,0,0.55
49,0,0,0.3
50,1,0,0.55
51,0,0,0.3
52,1,0,0.55
53,1,1,0.55
54,1,0,0.55
55,1,1,0.55
56,1,1,0.55
57,1,0,0.55
58,2,0,0.4
59,1,1,0.55
60,1,0,0.55
61,1,0,0.55
62,2,0,0.4
63,1,1,0.55
64,1,1,0.55
65,1,1,0.55
66,1,0,0.55
67,1,0,0.55
68,1,1,0.55
69,1,0,0.55
70,1,1,0.55
71,1,1,0.55
72,1,1,0.55
73,1,1,0.55
74,1,0,0.55
75,1,1,0.55
76,1,0,0.55
77,1,1,0.55
78,1,0,0.55
79,1,1,0.55
80,1,1,0.55
81,1,0,0.55
82,1,0,0.55
83,1,1,0.55
84,1,0,0.55
85,1,0,0.55
86,1,0,0.55
87,1,0,0.55
88,1,0,0.55
89,1,1,0.55
90,1,1,0.55
91,2,0,0.4
92,1,1,0.55
93,1,1,0.55
94,1,1,0.55
95,1,1,0.55
96,1,0,0.55
97,1,0,0.55
98,1,0,0.55
99,1,0,0.55
100,1,1,0.55
101,1,0,0.55
102,1,1,0.55
103,1,0,0.55
104,1,0,0.55
105,1,1,0.55
106,1,1,0.55
107,1,0,0.55
108,1,1,0.55
109,2,0,0.4
110,1,0,0.55
111,1,0,0.55
112,1,0,0.55
113,1,1,0.55
114,1,1,0.55
115,1,1,0.55
116,1,0,0.55
117,1,0,0.55
118,1,0,0.55
119,1,0,0.55
120,1,0,0.55
121,1,1,0.55
122,1,1,0.55
123,1,1,0.55
124,1,0,0.55
125,1,1,0.55
126,1,1,0.55
127,1,1,0.55
128,1,1,0.55
