ministry,gnn_community_id,embedding_dim1,embedding_dim2
고용노동부,3,-0.003365988,-0.0016320832
과학기술정보통신부,1,0.0018484071,-0.0004015984
교육부,3,7.71638e-05,0.0015089009
국방부,1,0.0015584677,0.00021824893
국토교통부,4,-0.00513593,-0.004619334
기획재정부,1,0.0028340984,0.0021140892
농림축산식품부,2,4.934147e-05,-0.00014642254
문화체육관광부,3,-0.0028069988,-0.0008650599
법무부,1,6.983429e-05,-0.0028332751
보건복지부,3,-0.0021382608,-0.00011018291
산업통상자원부,5,0.003996497,0.0020388719
여성가족부,3,-0.0033659898,-0.0016320832
외교부,5,0.0041181855,0.006136125
중소벤처기업부,1,0.001029551,-0.002201669
통일부,5,0.002388347,0.0039084945
해양수산부,5,0.0043251514,0.0044220854
행정안전부,3,-0.00053479336,0.00026297104
환경부,4,-0.0049694153,-0.006096297
