quarter,year,q_num,time_idx,nodes,edges,density,clustering
2020Q1,2020,1,0,19,26,0.08950714306409917,0.3292797576724562
2020Q2,2020,2,1,17,27,0.08231018640442438,0.3087397808134481
2020Q3,2020,3,2,19,25,0.09016176145774936,0.3290446004697284
2020Q4,2020,4,3,19,27,0.09194909852161995,0.3407977056320169
2021Q1,2021,1,4,18,25,0.08481824967207101,0.31733618039413736
2021Q2,2021,2,5,18,28,0.08806945018642116,0.3241491656079217
2021Q3,2021,3,6,19,25,0.08496665663213616,0.3539502207536584
2021Q4,2021,4,7,19,27,0.08907461991267164,0.3568292354322716
2022Q1,2022,1,8,17,27,0.09459940406736321,0.34721230154351124
2022Q2,2022,2,9,17,26,0.09623885537253335,0.3611252813229824
2022Q3,2022,3,10,19,27,0.09054613769173371,0.3289068845602554
2022Q4,2022,4,11,20,29,0.08947038234844779,0.34730707640445085
2023Q1,2023,1,12,20,28,0.09809320402078782,0.34035119926400065
2023Q2,2023,2,13,19,27,0.09542700327819992,0.3337525316982224
2023Q3,2023,3,14,19,28,0.09499754133369766,0.35080600944007256
2023Q4,2023,4,15,19,30,0.09170227288910539,0.35051321323053064
2024Q1,2024,1,16,18,28,0.0973969213238908,0.3634700466265539
2024Q2,2024,2,17,18,31,0.09882034247686686,0.3535399672809017
2024Q3,2024,3,18,18,32,0.09424550643679772,0.38447547746402067
2024Q4,2024,4,19,18,31,0.09718488174718039,0.3480631929086034
